cudnn_version,batch_size,in_channels,out_channels,h,w,kW,kH,stride_w,stride_h,pad_w,pad_h,outpad_w,outpad_h,dilation_w,dilation_h,groups,cudnn_deterministic,cudnn_benchmark,cudnn_allow_tf32
8004,1,114,93,163,163,1,1,1,1,0,0,0,0,1,1,1,True,True,False
8004,8,68,128,183,183,3,3,2,2,0,0,1,0,1,1,1,False,False,True
8004,1,115,36,212,212,3,1,2,2,0,0,1,0,1,1,1,True,False,False
8004,8,127,25,135,135,2,2,1,1,0,0,0,0,1,1,1,True,True,False
8004,6,63,32,205,205,1,1,2,2,0,0,1,0,1,1,1,False,False,True
8004,6,42,67,185,185,3,3,1,1,0,0,0,0,1,1,1,True,False,True
8004,8,95,55,222,222,1,3,1,1,0,0,0,0,1,1,1,False,False,True
8004,5,55,55,92,92,3,3,2,2,0,0,1,0,1,1,55,False,True,True
8004,6,100,100,95,95,1,3,2,2,0,0,0,1,1,1,100,False,True,True
8004,4,86,86,179,179,3,1,2,2,0,0,1,0,1,1,86,False,True,True
8004,6,49,44,35,35,2,2,2,2,0,0,0,1,1,1,1,False,False,False
8004,3,43,38,29,29,3,3,2,2,0,0,0,0,1,1,1,True,True,False
8004,3,68,68,202,202,2,2,2,2,0,0,1,1,1,1,68,True,True,False
8004,5,103,110,131,131,1,3,2,2,0,0,1,1,1,1,1,True,True,True
8004,8,126,126,157,157,1,3,2,2,0,0,0,0,1,1,126,True,True,True
8004,8,35,35,56,56,1,3,2,2,0,0,1,0,1,1,35,True,True,False
8004,1,81,81,65,65,3,3,1,1,0,0,0,0,1,1,81,False,True,False
8004,5,68,106,19,19,1,3,1,1,0,0,0,0,1,1,1,False,True,True
8004,4,60,109,24,24,3,3,1,1,0,0,0,0,1,1,1,False,False,True
8004,2,118,105,175,175,1,1,1,1,0,0,0,0,1,1,1,False,True,True
8004,4,95,32,196,196,1,1,1,1,0,0,0,0,1,1,1,True,True,False
8004,3,16,16,143,143,3,1,2,2,0,0,0,1,1,1,16,True,False,False
8004,7,77,77,66,66,1,1,2,2,0,0,1,1,1,1,77,True,True,True
8004,7,42,42,109,109,2,2,1,1,0,0,0,0,1,1,42,False,True,False
8004,7,68,94,56,56,3,3,2,2,0,0,1,0,1,1,1,True,False,True
8004,8,95,95,212,212,2,2,2,2,0,0,0,1,1,1,95,False,True,True
8004,3,44,44,58,58,3,1,2,2,0,0,1,1,1,1,44,True,True,False
8004,2,97,97,217,217,3,1,1,1,0,0,0,0,1,1,97,True,False,True
8004,6,110,110,195,195,2,2,2,2,0,0,1,0,1,1,110,False,False,False
8004,4,93,69,60,60,1,3,1,1,0,0,0,0,1,1,1,False,True,True
8004,7,53,53,91,91,1,1,2,2,0,0,0,0,1,1,53,True,True,True
8004,3,94,94,28,28,1,1,2,2,0,0,1,1,1,1,94,True,True,False
8004,4,110,110,69,69,1,1,2,2,0,0,0,0,1,1,110,True,True,True
8004,2,34,34,113,113,1,1,2,2,0,0,0,0,1,1,34,False,False,False
8004,2,70,36,121,121,2,2,1,1,0,0,0,0,1,1,1,False,False,False
8004,1,50,50,77,77,2,2,2,2,0,0,0,1,1,1,50,True,True,False
8004,6,78,78,28,28,2,2,2,2,0,0,0,0,1,1,78,True,False,False
8004,6,83,83,28,28,3,3,2,2,0,0,0,1,1,1,83,True,False,True
8004,5,58,55,61,61,2,2,2,2,0,0,0,1,1,1,1,True,True,True
8004,4,54,54,145,145,2,2,2,2,0,0,0,1,1,1,54,True,False,False
8004,5,66,50,40,40,2,2,2,2,0,0,0,1,1,1,1,False,False,False
8004,7,128,128,130,130,2,2,1,1,0,0,0,0,1,1,128,True,False,True
8004,7,125,39,155,155,1,3,2,2,0,0,0,1,1,1,1,True,True,False
8004,2,73,73,39,39,1,3,2,2,0,0,0,0,1,1,73,True,True,False
8004,1,92,108,34,34,3,3,1,1,0,0,0,0,1,1,1,False,True,True
8004,4,24,67,205,205,3,1,2,2,0,0,1,0,1,1,1,True,False,False
8004,2,112,112,125,125,3,1,2,2,0,0,0,1,1,1,112,False,False,False
8004,4,40,40,61,61,1,1,1,1,0,0,0,0,1,1,40,True,True,False
8004,2,105,105,170,170,3,3,2,2,0,0,0,0,1,1,105,True,False,False
8004,2,54,54,130,130,1,3,1,1,0,0,0,0,1,1,54,True,True,False
8004,3,95,97,191,191,1,3,1,1,0,0,0,0,1,1,1,False,True,True
8004,2,114,114,88,88,3,3,2,2,0,0,1,1,1,1,114,True,True,False
8004,5,105,105,86,86,2,2,2,2,0,0,0,0,1,1,105,False,False,False
8004,2,77,77,169,169,1,3,2,2,0,0,0,1,1,1,77,True,False,False
8004,6,103,69,61,61,1,1,2,2,0,0,0,0,1,1,1,True,False,True
8004,1,111,73,127,127,3,3,2,2,0,0,0,0,1,1,1,False,True,False
8004,5,47,47,59,59,3,3,2,2,0,0,1,1,1,1,47,True,True,True
8004,3,27,27,142,142,1,1,2,2,0,0,1,0,1,1,27,True,True,True
